schema_version,corpus_release_id,poet_id,poet_name,poem_id,title,relative_path,source_bytes,source_sha256,canonical_text_sha256,unicode_character_count,physical_line_count,nonblank_line_count,inventory_word_estimate,warning_codes
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-e2ba7ba1b6c7d6fb,To a Friend [Charles Lamb] who had declared his intention of writing no more Poetry,Samuel Taylor Coleridge/To a Friend [Charles Lamb] who had declared his intention of writing no more Poetry.txt,1634,3c50eaaafa213b88d12bc6afb31f82f2467bd4d2896233deabf560b4864b0bea,3c50eaaafa213b88d12bc6afb31f82f2467bd4d2896233deabf560b4864b0bea,1631,39,38,272,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-ef874d0b8710c154,To a Lady offended by a Sportive Observation that Women have no Souls,Samuel Taylor Coleridge/To a Lady offended by a Sportive Observation that Women have no Souls.txt,153,f431e1bd2cbdacbd373ff92e661a5099dd75b36905e3ee081e3b0404924b6497,f431e1bd2cbdacbd373ff92e661a5099dd75b36905e3ee081e3b0404924b6497,153,4,4,31,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-9ec7ac36251cfd65,"To a Lady, with Falconer's Shipwreck","Samuel Taylor Coleridge/To a Lady, with Falconer's Shipwreck.txt",1307,275bd1993ad46dd0258ec1bcb1353a3208fc9e6ba3ed66e9ae56183a6f6c0c5d,275bd1993ad46dd0258ec1bcb1353a3208fc9e6ba3ed66e9ae56183a6f6c0c5d,1306,34,28,223,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-22570a6f183174a9,TO A PROUD PARENT,Samuel Taylor Coleridge/TO A PROUD PARENT.txt,190,c641accc9377be5ed1fafbab009b19e92a1e58b9043ddb91b1f247f12e9033be,c641accc9377be5ed1fafbab009b19e92a1e58b9043ddb91b1f247f12e9033be,190,4,4,34,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-1854c649e6f41877,TO A VAIN YOUNG LADY,Samuel Taylor Coleridge/TO A VAIN YOUNG LADY.txt,389,b2da1f7cd38104a05027283a170eaeeca50c99190c6c9c004fb556860d4d67b9,b2da1f7cd38104a05027283a170eaeeca50c99190c6c9c004fb556860d4d67b9,389,10,10,64,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-612e2f0a32a6cff0,To a Young Friend on his proposing to domesticate with the Author. Composed in 1796,Samuel Taylor Coleridge/To a Young Friend on his proposing to domesticate with the Author. Composed in 1796.txt,3475,b5e3c479c21049e960300f57a2106ce9df874822da16d47bf3f4b69b086f0d69,b5e3c479c21049e960300f57a2106ce9df874822da16d47bf3f4b69b086f0d69,3475,78,76,562,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-4a2aae8d163484ae,To a Young Lady on her Recovery from a Fever,Samuel Taylor Coleridge/To a Young Lady on her Recovery from a Fever.txt,661,9fb0737e5e900c31b6c86957252db8a1408b7e1b1eea01c81fc5f648971c0a28,9fb0737e5e900c31b6c86957252db8a1408b7e1b1eea01c81fc5f648971c0a28,661,23,20,121,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-a45dd9dda93b85eb,To a Young Lady with a Poem on the French Revolution,Samuel Taylor Coleridge/To a Young Lady with a Poem on the French Revolution.txt,1974,622f732594e741515485805a75258563e2233e02de5fd083a38fce455f2fcc7b,622f732594e741515485805a75258563e2233e02de5fd083a38fce455f2fcc7b,1974,46,44,341,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-0bcfde368c0905a2,To an Infant,Samuel Taylor Coleridge/To an Infant.txt,1144,360ea992d142844966a43fb69ebc94cc4735d28f3277af24af99ff8ac2f811cc,360ea992d142844966a43fb69ebc94cc4735d28f3277af24af99ff8ac2f811cc,1144,27,26,205,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-a43d36963ddd9dc5,To an Unfortunate Woman at the Theatre,Samuel Taylor Coleridge/To an Unfortunate Woman at the Theatre.txt,1054,5dc0567994bd029bf3917caf2859f5ba50d4beec6094980aca80aa0de7f4744f,5dc0567994bd029bf3917caf2859f5ba50d4beec6094980aca80aa0de7f4744f,1054,39,32,174,
