schema_version,profile_id,profile_build_id,reference_release_id,poet_id,poet_name,poem_id,title,relative_path,source_sha256,vad_midpoint_matched_observations,vad_valence_above_midpoint_deviation_per_observation,vad_valence_below_midpoint_deviation_per_observation,vad_valence_absolute_midpoint_deviation_per_observation,vad_arousal_above_midpoint_deviation_per_observation,vad_arousal_below_midpoint_deviation_per_observation,vad_arousal_absolute_midpoint_deviation_per_observation,vad_dominance_above_midpoint_deviation_per_observation,vad_dominance_below_midpoint_deviation_per_observation,vad_dominance_absolute_midpoint_deviation_per_observation,vad_valence_average_deviation_from_poem_mean,vad_arousal_average_deviation_from_poem_mean,vad_dominance_average_deviation_from_poem_mean
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-fa19ae39f8264098,Dreams,Edgar Allan Poe/Dreams.txt,cf3967815bc3521c768c42bbbec96c2511de0e6ae2c7dd8c5e1d256184c9d8af,101,0.192059405941,0.0394653465347,0.231524752475,0.0477524752475,0.103346534653,0.151099009901,0.0851237623762,0.0559108910891,0.141034653465,0.192541123419,0.139582589942,0.139882560533
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-59574da915b32056,Eldorado,Edgar Allan Poe/Eldorado.txt,b74b12a54a16d48903a7c0a1a5fbd69832993cecae8f5f4afe291736fad8f610,31,0.186677419355,0.0447096774194,0.231387096774,0.0677903225806,0.0874193548387,0.155209677419,0.0917741935484,0.070935483871,0.162709677419,0.191809573361,0.149510926119,0.162188345473
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-af926c75f91f79b8,Eulalie,Edgar Allan Poe/Eulalie.txt,12cdb68bdef57beab1df9778b30ec1ebf939933a85d85329230008a3f0534ea9,55,0.172645454545,0.045,0.217645454545,0.0511272727273,0.109936363636,0.161063636364,0.0796545454545,0.0897090909091,0.169363636364,0.197342809917,0.149760661157,0.168449586777
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-ff40aa9bf59a2f3c,Evening Star,Edgar Allan Poe/Evening Star.txt,4e74a3390241b4e9bb520e7cab8218284f2aa119f449a4330616afa197513a18,44,0.143022727273,0.0473636363636,0.190386363636,0.04875,0.0877840909091,0.136534090909,0.0651590909091,0.0682613636364,0.133420454545,0.179507231405,0.135170454545,0.133420454545
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-5e9678253de409d4,Fairyland,Edgar Allan Poe/Fairyland.txt,6de16cd3ef076b181f7ed40046adb485c31ffbd0910427f25594a2f24c81d469,85,0.125088235294,0.0539,0.178988235294,0.0557647058824,0.135847058824,0.191611764706,0.0555294117647,0.0923117647059,0.147841176471,0.163894809689,0.163640415225,0.142370103806
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-f87521c0b4c4d1ec,For Annie,Edgar Allan Poe/For Annie.txt,447c57396c22e78d73d34f1a4b53957d7a69e5270782dde1acee5817a6eb807f,154,0.162168831169,0.121006493506,0.283175324675,0.0850811688312,0.121983766234,0.207064935065,0.0569707792208,0.0916103896104,0.148581168831,0.277569826278,0.200352841963,0.144367178276
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a3bfb8787d411682,Hymn. Translation from the Greek,Edgar Allan Poe/Hymn. Translation from the Greek.txt,f5bf101f19601d77dd5eca2411ab19d01e1239ffafa0ff87f98fe227efe0a694,38,0.227289473684,0.0748026315789,0.302092105263,0.117907894737,0.0884342105263,0.206342105263,0.140236842105,0.0403157894737,0.180552631579,0.261305401662,0.205289473684,0.163078947368
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-7734eee7e9ee2245,Hymn,Edgar Allan Poe/Hymn.txt,222c269b5cdc0172fe18f2ad8756e474e2bb5b34be2717e0dfd8e80de97254e7,26,0.175461538462,0.0634807692308,0.238942307692,0.0578653846154,0.117730769231,0.175596153846,0.0687692307692,0.0880192307692,0.156788461538,0.215405325444,0.161781065089,0.153826923077
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-4e588495123e6f4f,Imitation,Edgar Allan Poe/Imitation.txt,f7eeec979aeed4681bd998bc5d15f9a4f8292a8a0ea98fc6beb452291a8bbf63,40,0.167925,0.0376125,0.2055375,0.029975,0.132925,0.1629,0.0843,0.0595,0.1438,0.18270625,0.1241125,0.14388
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-545eb0e0efb586ba,In Youth I have known one,Edgar Allan Poe/In Youth I have known one.txt,7584c44c774bc6390102d0f782bce6dbb352212d3553ff464f64233eebdda104,105,0.148557142857,0.0442095238095,0.192766666667,0.0661619047619,0.0845523809524,0.150714285714,0.101333333333,0.0563047619048,0.157638095238,0.170123174603,0.148787664399,0.154944217687
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a8dd66265440e15c,Israfel,Edgar Allan Poe/Israfel.txt,e617adc80df1aa90553d66012ad2d0a5e8284d96d701dd4d6efbc1e1bdca3c81,93,0.170612903226,0.0495161290323,0.220129032258,0.0712204301075,0.113516129032,0.18473655914,0.073252688172,0.064564516129,0.137817204301,0.204663544918,0.175155624928,0.138844837553
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a88c53cea1c54bd9,Lenore,Edgar Allan Poe/Lenore.txt,01c8ac3e59bb6b57234530d3447b5c5914cb57a3bbfe90b893c32dd151c4fe46,114,0.141846491228,0.123456140351,0.265302631579,0.0611184210526,0.0868640350877,0.14798245614,0.0650964912281,0.0887368421053,0.153833333333,0.263366805171,0.146763311788,0.15067820868
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-c854159c8c4b7c60,Romance,Edgar Allan Poe/Romance.txt,ae4dd2c745d95fd150618f75c8e4d11318876aba199ffdab3873055d3b77643a,60,0.132441666667,0.0740916666667,0.206533333333,0.0570916666667,0.137816666667,0.194908333333,0.0531916666667,0.0823333333333,0.135525,0.194548333333,0.169915,0.132348888889
